	Factor	R2.adj	Df	AIC	F	Pr(>F)
0	+ age	0.113784660157809	1.0	1446.5093220274	43.113205283049204	0.002
1	+ qiita_study_id	0.05037797579478798	1.0	1428.2466383178698	20.7090950865426	0.002
2	+ delivery_mode	0.008180979324240029	1.0	1425.99984754944	4.22235085589841	0.006
3	<All variables>	0.007330757047929987				
