	Factor	R2.adj	Df	AIC	F	Pr(>F)
0	+ metadata_abx	0.249422807689821	1.0	1605.93644514776	104.34778885671	0.002
1	+ age	0.09961764448174398	1.0	1562.50112718517	48.4399214088795	0.002
2	+ qiita_study_id	0.044043870491805026	1.0	1541.63179820299	23.4241298918025	0.002
3	+ delivery_mode	0.004754530705873006	1.0	1540.1633551046802	3.4318996096016496	0.024
4	<All variables>	0.0026821528299720288				
