SampleID	FT_infant_stool	adult_oral	adult_skin	adult_stool	vaginal	Unknown
11712.SUBJECT42.SKIN.994	0.004044749683231336	0.011462983904725695	0.017508854902591416	0.0035156791662493856	0.01498799519615616	0.006264183905346334
11712.SUBJECT7.SKIN.1110	0.0009797958971132714	0.0017435595774162695	0.003440930106817054	0.0	0.0021540659228538013	0.0
11713.5.O.5B	0.00614817045957576	0.0035777087639996636	0.009243376006633075	0.004737087712930808	0.0009797958971132711	0.009130169768410669
11712.SUBJECT31.ORAL.699	0.00285657137141714	0.004454211490264017	0.011356055653262708	0.0008000000000000003	0.009346657156438332	0.003200000000000001
11712.SUBJECT10.ORAL.35	0.0012806248474865698	0.007236021006050224	0.005600000000000001	0.002497999199359359	0.0008	0.0008
11713.22.O.22E	0.0037735924528226415	0.0009797958971132714	0.010740577265678009	0.0012000000000000003	0.0018000000000000002	0.009314504817756013
11712.SUBJECT20.SKIN.409	0.0025690465157330255	0.02066978471102203	0.0212	0.0024000000000000002	0.0008	0.007364781055808794
11712.SUBJECT41.STOOL.978	0.002653299832284322	0.00132664991614216	0.0015491933384829666	0.0	0.0013266499161421602	0.0
11712.SUBJECT30.ORAL.646	0.0015491933384829666	0.00208806130178211	0.004098780306383843	0.0	0.001886796226411321	0.0
11712.SUBJECT12.ORAL.64	0.00161245154965971	0.003979949748426479	0.004381780460041332	0.002227105745132009	0.0014966629547095765	0.003155946767611903
11712.SUBJECT34.STOOL.745	0.006621178142898746	0.001886796226411321	0.004995998398718718	0.0038	0.0008	0.00387814388593306
11712.SUBJECT20.ORAL.391	0.011766052864066184	0.00885663593019381	0.007592101158440922	0.016341358572652405	0.0008	0.010394229168149036
11712.SUBJECT16.SKIN.172	0.0016124515496597097	0.005063595560468865	0.017732456118654306	0.0028565713714171406	0.017681628884240273	0.007169379331573964
11712.SUBJECT2.ORAL.381	0.002236067977499789	0.006779380502671318	0.010254754994635424	0.001833030277982336	0.0016	0.005079370039680123
11712.SUBJECT12.SKIN.83	0.0012000000000000001	0.000916515138991168	0.002537715508089907	0.0	0.0010770329614269007	0.001562049935181331
11712.SUBJECT31.STOOL.705	0.014945233353815526	0.04892279632236898	0.0528321871589659	0.008440379138403677	0.0008	0.0
11712.SUBJECT34.SKIN.739	0.0028354893757515645	0.00637495098020369	0.010516653460107935	0.0010770329614269007	0.005425863986500214	0.004331281565541543
11712.SUBJECT41.ORAL.946	0.0	0.00734574706888279	0.007291090453423274	0.0	0.0006	0.0006000000000000001
11712.SUBJECT19.ORAL.338	0.00132664991614216	0.01043264108459599	0.009123595782365634	0.0014966629547095765	0.0008	0.0
11712.SUBJECT20.ORAL.396	0.0014	0.005458937625582477	0.005440588203494177	0.0006	0.000916515138991168	0.0
11712.SUBJECT12.SKIN.84	0.001886796226411321	0.0017435595774162695	0.0034698703145794978	0.0006	0.00208806130178211	0.0024000000000000002
11712.SUBJECT38.STOOL.822	0.023017384734152574	0.07080225985093978	0.07170076708097342	0.009846826900072938	0.0	0.0
11712.SUBJECT31.STOOL.702	0.006764613810115086	0.002939387691339814	0.00521919534027996	0.004454211490264017	0.003280243893371345	0.003773592452822642
11712.SUBJECT37.ORAL.790	0.0013266499161421602	0.021429885673983427	0.020861447696648477	0.0	0.003944616584663204	0.0055281099844341035
11712.SUBJECT15.SKIN.149	0.0009797958971132711	0.0033226495451672286	0.018681541692269408	0.0010770329614269009	0.018863721796082568	0.002712931993250107
11712.SUBJECT28.SKIN.599	0.0006	0.0016124515496597099	0.004476605857119883	0.0009165151389911681	0.006118823416311343	0.004630334761116091
11712.SUBJECT22.STOOL.479	0.0	0.0012806248474865707	0.0014	0.0	0.000916515138991168	0.000916515138991168
11712.SUBJECT17.STOOL.260	0.002537715508089904	0.001661324772583615	0.0034000000000000002	0.0025298221281347044	0.001562049935181331	0.0018330302779823377
11713.5.O.5E	0.001661324772583615	0.000916515138991168	0.0038418745424597125	0.0014000000000000002	0.0017435595774162693	0.002993325909419153
11713.22.O.22B	0.008392854103342914	0.0050754310161798075	0.00737563556583431	0.006452906321960671	0.0014966629547095765	0.00902441133814279
11712.SUBJECT10.ORAL.32	0.012270289320142375	0.00885663593019382	0.01933804540278049	0.005600000000000001	0.0016	0.005499090833947013
11712.SUBJECT34.SKIN.742	0.0006	0.0017888543819998318	0.016365818036383043	0.0006000000000000001	0.015127458477880542	0.0029732137494637013
11712.SUBJECT25.SKIN.540	0.0014	0.0006000000000000001	0.0032802438933713478	0.0012	0.0027202941017470885	0.0008
11712.SUBJECT9.ORAL.1169	0.007704544113703288	0.010599999999999998	0.015949921629901442	0.0024	0.011223190277278562	0.006681317235396027
11712.SUBJECT21.ORAL.443	0.000916515138991168	0.002653299832284322	0.002749545416973504	0.0009165151389911681	0.00132664991614216	0.001
11712.SUBJECT30.ORAL.641	0.0012806248474865698	0.0	0.002600000000000002	0.0	0.002441311123146741	0.000916515138991168
11712.SUBJECT21.STOOL.463	0.002332380757938122	0.0	0.0025612496949731396	0.0	0.0008	0.0
11712.SUBJECT20.STOOL.420	0.0044	0.007735631842325486	0.007769169839822014	0.0030724582991474435	0.0009797958971132714	0.004582575694955844
11713.22.S.22E	0.0015491933384829668	0.0	0.0028000000000000026	0.0	0.0021540659228538013	0.0
11713.1.S.1G	0.000916515138991168	0.0	0.005895761189193424	0.0008	0.005589275444992848	0.0017999999999999995
11712.SUBJECT40.SKIN.902	0.0029732137494637013	0.006599999999999996	0.010087616170334785	0.0009165151389911681	0.005075431016179808	0.0020099751242241798
