0.018	0.016	0.332	0.61	0.004	0.02
0.018	0.006	0.33	0.622	0.006	0.018
0.022	0.024	0.336	0.6	0.006	0.012
0.024	0.014	0.326	0.608	0.006	0.022
0.014	0.024	0.316	0.608	0.012	0.026
0.016	0.022	0.318	0.628	0.01	0.006
0.026	0.01	0.324	0.606	0.006	0.028
0.022	0.016	0.326	0.618	0.004	0.014
0.022	0.008	0.326	0.616	0.006	0.022
0.016	0.012	0.332	0.618	0.002	0.02
