SampleID	FT_infant_stool	adult_oral	adult_skin	adult_stool	vaginal	Unknown
11712.SUBJECT42.SKIN.994	0.012199999999999999	0.16099999999999998	0.5092	0.04579999999999999	0.16639999999999994	0.10539999999999998
11712.SUBJECT7.SKIN.1110	0.0008	0.004400000000000001	0.9924000000000002	0.0	0.0024000000000000002	0.0
11713.5.O.5B	0.035	0.01	0.045599999999999995	0.13340000000000002	0.0008	0.7752000000000001
11712.SUBJECT31.ORAL.699	0.0032	0.0084	0.6731999999999999	0.004399999999999999	0.19519999999999998	0.1156
11712.SUBJECT10.ORAL.35	0.0006000000000000001	0.9718	0.0252	0.0016	0.0004	0.0004
11713.22.O.22E	0.0036000000000000003	0.0008	0.9408000000000001	0.018399999999999996	0.0026000000000000007	0.033800000000000004
11712.SUBJECT20.SKIN.409	0.0030000000000000005	0.2334	0.21559999999999996	0.005200000000000001	0.0004	0.5424
11712.SUBJECT41.STOOL.978	0.9964000000000001	0.0008	0.0020000000000000005	0.0	0.0008	0.0
11712.SUBJECT30.ORAL.646	0.002	0.0038	0.992	0.0	0.0021999999999999997	0.0
11712.SUBJECT12.ORAL.64	0.003	0.0116	0.44400000000000006	0.05720000000000001	0.0024000000000000002	0.48179999999999995
11712.SUBJECT34.STOOL.745	0.8896000000000001	0.0021999999999999997	0.018799999999999997	0.0054	0.0004	0.08359999999999998
11712.SUBJECT20.ORAL.391	0.0346	0.0326	0.0274	0.2504	0.0004	0.6546000000000001
11712.SUBJECT16.SKIN.172	0.009	0.0506	0.5146	0.029200000000000004	0.1276	0.269
11712.SUBJECT2.ORAL.381	0.005	0.0358	0.5938000000000001	0.0032	0.0012000000000000001	0.36100000000000004
11712.SUBJECT12.SKIN.83	0.0016	0.0006000000000000001	0.9945999999999999	0.0	0.0018000000000000002	0.0014
11712.SUBJECT31.STOOL.705	0.0372	0.1744	0.7706000000000001	0.0174	0.0004	0.0
11712.SUBJECT34.SKIN.739	0.0126	0.020399999999999998	0.8809999999999999	0.0018000000000000002	0.0264	0.057800000000000004
11712.SUBJECT41.ORAL.946	0.0	0.9838000000000001	0.0158	0.0	0.0002	0.0002
11712.SUBJECT19.ORAL.338	0.0012000000000000001	0.9734	0.023399999999999997	0.0016	0.0004	0.0
11712.SUBJECT20.ORAL.396	0.0022	0.9809999999999999	0.016000000000000004	0.0002	0.0006000000000000001	0.0
11712.SUBJECT12.SKIN.84	0.0021999999999999997	0.0016	0.9914000000000002	0.0002	0.0018000000000000002	0.0028000000000000004
11712.SUBJECT38.STOOL.822	0.137	0.3568	0.485	0.0212	0.0	0.0
11712.SUBJECT31.STOOL.702	0.6812	0.022399999999999996	0.22460000000000005	0.007600000000000001	0.005800000000000001	0.05840000000000001
11712.SUBJECT37.ORAL.790	0.0008	0.1326	0.724	0.0	0.0118	0.13080000000000003
11712.SUBJECT15.SKIN.149	0.0008	0.04959999999999999	0.327	0.005799999999999999	0.6115999999999999	0.005200000000000001
11712.SUBJECT28.SKIN.599	0.0002	0.001	0.8026	0.0034000000000000002	0.0264	0.1664
11712.SUBJECT22.STOOL.479	0.0	0.9965999999999999	0.0022	0.0	0.0006000000000000001	0.0006000000000000001
11712.SUBJECT17.STOOL.260	0.0066	0.0038000000000000004	0.0058000000000000005	0.030000000000000006	0.0046	0.9492
11713.5.O.5E	0.0038000000000000004	0.0006000000000000001	0.9862	0.0038000000000000004	0.0024000000000000002	0.0032
11713.22.O.22B	0.034600000000000006	0.016800000000000002	0.046	0.1206	0.0024000000000000002	0.7796000000000001
11712.SUBJECT10.ORAL.32	0.036799999999999986	0.3806	0.4022	0.016800000000000002	0.0012000000000000001	0.1624
11712.SUBJECT34.SKIN.742	0.0002	0.0020000000000000005	0.8676	0.0002	0.1254	0.0046
11712.SUBJECT25.SKIN.540	0.0018000000000000002	0.0002	0.9902000000000001	0.004400000000000001	0.003	0.0004
11712.SUBJECT9.ORAL.1169	0.0288	0.036199999999999996	0.78	0.0027999999999999995	0.0578	0.09439999999999998
11712.SUBJECT21.ORAL.443	0.0026000000000000003	0.9603999999999999	0.0202	0.008600000000000002	0.007200000000000001	0.001
11712.SUBJECT30.ORAL.641	0.0014	0.0	0.9938	0.0	0.0042	0.0006000000000000001
11712.SUBJECT21.STOOL.463	0.9924	0.0	0.007200000000000001	0.0	0.0004	0.0
11712.SUBJECT20.STOOL.420	0.04279999999999999	0.0836	0.09619999999999998	0.009600000000000001	0.0008	0.767
11713.22.S.22E	0.0020000000000000005	0.0	0.9955999999999999	0.0	0.0024000000000000002	0.0
11713.1.S.1G	0.0006000000000000001	0.0	0.9378000000000002	0.0004	0.008600000000000002	0.0526
11712.SUBJECT40.SKIN.902	0.0066	0.35019999999999996	0.2892	0.0066	0.014799999999999999	0.3326
11712.SUBJECT28.SKIN.597	0.0002	0.0002	0.8433999999999999	0.0	0.0098	0.14639999999999997
11712.SUBJECT22.STOOL.477	0.005200000000000001	0.0284	0.0228	0.0012000000000000001	0.0020000000000000005	0.9404
11712.SUBJECT23.SKIN.491	0.0008	0.013999999999999999	0.06920000000000001	0.0002	0.0102	0.9056
11712.SUBJECT10.STOOL.52	0.0352	0.8577999999999999	0.055600000000000004	0.0052	0.0014	0.04479999999999999
11712.SUBJECT31.ORAL.690	0.001	0.0002	0.8862	0.0	0.0106	0.10200000000000001
11712.SUBJECT19.STOOL.364	0.1056	0.04359999999999999	0.034199999999999994	0.011600000000000001	0.0014	0.8036
11712.SUBJECT43.ORAL.1024	0.6784000000000001	0.0002	0.2274	0.007600000000000001	0.0012000000000000001	0.08520000000000001
11712.SUBJECT9.ORAL.1167	0.2794	0.491	0.12399999999999997	0.0054	0.009799999999999998	0.09039999999999998
11712.SUBJECT11.ORAL.55	0.001	0.7386000000000001	0.21039999999999998	0.0006000000000000001	0.0028000000000000004	0.046599999999999996
11712.SUBJECT13.SKIN.111	0.0026000000000000003	0.4212000000000001	0.1016	0.012400000000000001	0.30219999999999997	0.15999999999999998
11712.SUBJECT33.STOOL.727	0.9599999999999997	0.0004	0.0078	0.0004	0.004200000000000001	0.027200000000000002
11712.SUBJECT41.STOOL.971	0.9950000000000001	0.0036000000000000003	0.0006000000000000001	0.0002	0.0006000000000000001	0.0
11713.25.F.25A	0.0024000000000000002	0.0002	0.9485999999999999	0.007200000000000001	0.0028	0.038799999999999994
11712.SUBJECT23.STOOL.499	0.08979999999999998	0.04279999999999999	0.025	0.09939999999999999	0.009799999999999998	0.7332
11712.SUBJECT18.STOOL.320	0.0018000000000000002	0.0012000000000000001	0.9538000000000002	0.0004	0.0042	0.03859999999999999
11712.SUBJECT14.SKIN.132	0.0058000000000000005	0.015000000000000003	0.9722	0.0004	0.004000000000000001	0.0026000000000000007
11712.SUBJECT20.SKIN.407	0.008	0.0208	0.33440000000000003	0.0036000000000000003	0.04079999999999999	0.5923999999999998
11713.3.F.3A	0.6488	0.0008	0.033600000000000005	0.0004	0.31120000000000003	0.005200000000000001
11712.SUBJECT30.ORAL.648	0.0018000000000000002	0.31679999999999997	0.6779999999999999	0.0016	0.0018000000000000002	0.0
11712.SUBJECT20.STOOL.427	0.9668000000000001	0.015000000000000003	0.0118	0.004	0.0008	0.0016
11713.22.S.22B	0.0002	0.0	0.34639999999999993	0.009	0.0014	0.643
11712.SUBJECT34.SKIN.737	0.08779999999999998	0.039	0.8511999999999998	0.0018000000000000002	0.0027999999999999995	0.017400000000000002
11712.SUBJECT40.SKIN.905	0.0012000000000000001	0.0006000000000000001	0.9864	0.0	0.0044	0.007399999999999999
11712.SUBJECT21.ORAL.436	0.09919999999999998	0.17519999999999997	0.046	0.17019999999999996	0.2182	0.2912
11712.SUBJECT19.ORAL.336	0.0	0.9827999999999999	0.016800000000000002	0.0	0.0004	0.0
11712.SUBJECT23.SKIN.496	0.0004	0.0004	0.9928000000000001	0.0006000000000000001	0.0038000000000000004	0.0020000000000000005
11712.SUBJECT10.SKIN.44	0.0002	0.0002	0.9948	0.0	0.0046	0.0002
11713.15.O.15C	0.0030000000000000005	0.0004	0.066	0.0164	0.0028	0.9114000000000002
11713.18.F.18B	0.0002	0.0	0.9972	0.0	0.0026000000000000003	0.0
11713.16.O.16A	0.0038000000000000004	0.014799999999999999	0.0378	0.20459999999999998	0.0006000000000000001	0.7383999999999998
11713.4.S.4C	0.0004	0.0	0.6606	0.0022000000000000006	0.0021999999999999997	0.33460000000000006
11713.10.O.10E	0.0008	0.0	0.9958	0.0	0.0032	0.0002
11712.SUBJECT36.STOOL.784	0.5518	0.010400000000000001	0.0098	0.0064	0.0002	0.42139999999999994
11712.SUBJECT40.ORAL.886	0.0	0.985	0.014000000000000004	0.0004	0.0004	0.0002
11712.SUBJECT8.ORAL.1116	0.008799999999999999	0.9309999999999998	0.049199999999999994	0.0002	0.0030000000000000005	0.007800000000000001
11712.SUBJECT30.STOOL.688	0.01	0.06620000000000001	0.0252	0.0018000000000000002	0.0038000000000000004	0.893
11712.SUBJECT2.STOOL.390	0.019200000000000002	0.501	0.45360000000000006	0.0116	0.0012000000000000001	0.0134
11712.SUBJECT2.SKIN.385	0.002	0.7062000000000002	0.17539999999999997	0.012000000000000002	0.0008	0.1036
11712.SUBJECT10.SKIN.38	0.10200000000000001	0.025	0.0032	0.34040000000000004	0.0006000000000000001	0.5288000000000002
11712.SUBJECT1.ORAL.6	0.0002	0.9196	0.078	0.0002	0.0014	0.0006000000000000001
11712.SUBJECT36.ORAL.773	0.0068000000000000005	0.8766	0.022799999999999994	0.0002	0.0012000000000000001	0.09239999999999998
11712.SUBJECT1.STOOL.24	0.007799999999999999	0.0	0.0018000000000000002	0.0002	0.0006000000000000001	0.9895999999999999
11712.SUBJECT43.SKIN.1046	0.0	0.0002	0.8433999999999999	0.0	0.0016	0.1548
11712.SUBJECT8.SKIN.1146	0.2696	0.0048000000000000004	0.0628	0.0026000000000000003	0.5626	0.09759999999999999
11712.SUBJECT29.STOOL.618	0.09159999999999999	0.0014	0.0028	0.8979999999999999	0.0004	0.0058000000000000005
11712.SUBJECT9.STOOL.1211	0.003400000000000001	0.0004	0.9826	0.0068000000000000005	0.0046	0.0022
11712.SUBJECT42.SKIN.1005	0.0098	0.3322	0.6044	0.010600000000000002	0.0406	0.0024000000000000002
11712.SUBJECT42.ORAL.990	0.0014	0.7474000000000001	0.2486	0.001	0.0016	0.0
11712.SUBJECT4.ORAL.845	0.0252	0.8102	0.1552	0.0094	0.0	0.0
11712.SUBJECT21.STOOL.456	0.0764	0.007400000000000001	0.030800000000000004	0.6554	0.040799999999999996	0.18919999999999998
11712.SUBJECT21.SKIN.447	0.0248	0.157	0.2472	0.06340000000000001	0.12639999999999998	0.38120000000000004
11712.SUBJECT36.ORAL.774	0.0016	0.6890000000000002	0.205	0.0016	0.0224	0.0804
11712.SUBJECT27.ORAL.576	0.0	0.9856000000000001	0.012799999999999997	0.0004	0.0004	0.0008
11712.SUBJECT1.STOOL.23	0.0004	0.0038	0.0162	0.0004	0.001	0.9781999999999998
11712.SUBJECT42.SKIN.1002	0.001	0.0002	0.9903999999999998	0.0036000000000000003	0.0038000000000000004	0.001
11712.SUBJECT4.ORAL.842	0.0142	0.9349999999999999	0.039799999999999995	0.0106	0.0	0.0004
11712.SUBJECT10.SKIN.43	0.0028000000000000004	0.0008	0.9882	0.0002	0.004000000000000001	0.003999999999999999
11713.15.O.15D	0.0206	0.016200000000000003	0.016999999999999998	0.11340000000000001	0.0008	0.8320000000000001
11713.4.S.4D	0.0016	0.01	0.8286	0.0104	0.003	0.14639999999999997
11713.16.O.16F	0.0016	0.0004	0.9757999999999999	0.009600000000000001	0.003	0.009600000000000001
11712.SUBJECT29.SKIN.616	0.0006000000000000001	0.001	0.9958	0.0	0.0024000000000000002	0.0002
11713.10.O.10B	0.0528	0.005000000000000001	0.1214	0.13540000000000002	0.0058000000000000005	0.6796
11712.SUBJECT36.STOOL.783	0.009600000000000001	0.0	0.23640000000000003	0.0	0.0012000000000000001	0.7527999999999999
11712.SUBJECT11.SKIN.58	0.0078	0.05720000000000001	0.433	0.0162	0.020399999999999995	0.4654000000000001
11712.SUBJECT22.SKIN.475	0.021400000000000002	0.055400000000000005	0.8404000000000001	0.00020000000000000004	0.006200000000000001	0.07640000000000002
11712.SUBJECT19.SKIN.349	0.028199999999999996	0.311	0.35540000000000005	0.0002	0.0018000000000000002	0.3034
11712.SUBJECT21.SKIN.449	0.0368	0.6278	0.0258	0.0012000000000000001	0.0196	0.2888
11713.15.S.15C	0.0024000000000000002	0.0002	0.9378	0.005799999999999999	0.0036000000000000003	0.0502
11712.SUBJECT21.STOOL.458	0.9922000000000001	0.0	0.006200000000000001	0.0008	0.0008	0.0
11712.SUBJECT4.STOOL.864	0.0016	0.0028000000000000004	0.15899999999999997	0.0	0.0038000000000000004	0.8328
11713.16.S.16A	0.009	0.0022000000000000006	0.045399999999999996	0.007599999999999998	0.0006000000000000001	0.9351999999999998
11713.5.F.5C	0.0002	0.0	0.9965999999999999	0.0	0.0030000000000000005	0.0002
11712.SUBJECT38.SKIN.814	0.001	0.0008	0.9962	0.0	0.0018000000000000002	0.0002
11713.10.S.10E	0.0006000000000000001	0.0	0.9366	0.0	0.0018000000000000002	0.06100000000000001
11712.SUBJECT1.SKIN.12	0.0008	0.008200000000000002	0.5174	0.0048000000000000004	0.0014	0.4673999999999999
11713.17.F.17A	0.020399999999999998	0.020999999999999998	0.030400000000000003	0.08559999999999998	0.0004	0.8422000000000001
11712.SUBJECT34.ORAL.734	0.0027999999999999995	0.9691999999999998	0.024600000000000004	0.003	0.0	0.0004
11712.SUBJECT8.SKIN.1133	0.0014	0.0004	0.9904	0.0002	0.006799999999999999	0.0008
11712.SUBJECT30.STOOL.681	0.011	0.8855999999999999	0.038400000000000004	0.004	0.0006000000000000001	0.06040000000000001
11712.SUBJECT17.SKIN.225	0.013800000000000002	0.0028000000000000004	0.7796000000000001	0.011600000000000001	0.09439999999999998	0.09779999999999998
11713.17.F.17F	0.0404	0.018799999999999997	0.028000000000000004	0.23979999999999996	0.0	0.673
11712.SUBJECT1.SKIN.15	0.0006000000000000001	0.0004	0.9888	0.0002	0.0028000000000000004	0.007200000000000001
11712.SUBJECT25.ORAL.531	0.0	0.9878	0.011400000000000002	0.0002	0.0004	0.0002
11712.SUBJECT34.ORAL.733	0.004	0.9686	0.024200000000000003	0.0032	0.0	0.0
