	R2.adj	Df	AIC	F	Pr(>F)
+ sample_type	0.16997316266987	2	5952.99683681359	97.1443966125623	0.002
+ metadata_abx	0.264616236167729	1	5840.19159478668	121.590889939738	0.002
+ age	0.307638015301931	1	5784.52023103687	59.1608989706704	0.002
+ qiita_study_id	0.323582952770935	1	5763.61320017328	23.0404266029532	0.002
+ delivery_mode	0.337426742486347	1	5745.16826877608	20.514978466206	0.002
<All variables>	0.338633378260425	NA	NA	NA	NA
