	R2.adj	Df	AIC	F	Pr(>F)
+ metadata_abx	0.249422807689821	1	1605.93644514776	104.34778885671	0.002
+ age	0.349040452171565	1	1562.50112718517	48.4399214088795	0.002
+ qiita_study_id	0.39308432266337	1	1541.63179820299	23.4241298918025	0.002
+ delivery_mode	0.397838853369243	1	1540.16335510468	3.43189960960165	0.024
<All variables>	0.400521006199215	NA	NA	NA	NA
