	R2.adj	Df	AIC	F	Pr(>F)
+ age	0.113784660157809	1	1446.5093220274	43.1132052830492	0.002
+ qiita_study_id	0.164162635952597	1	1428.24663831787	20.7090950865426	0.002
+ delivery_mode	0.172343615276837	1	1425.99984754944	4.22235085589841	0.006
<All variables>	0.179674372324767	NA	NA	NA	NA
